ano_eje,mes_eje,nivel_gobierno_nombre,sector_nombre,departamento_ejecutora_nombre,funcion_nombre,fuente_financiamiento_nombre,categoria_gasto_nombre,monto_devengado,tasa_giro
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS ORDINARIOS,GASTO CORRIENTE,4000,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,523.45,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,286,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,2999.5,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,30028,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SANEAMIENTO,RECURSOS DETERMINADOS,GASTO CORRIENTE,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,PROTECCION SOCIAL,RECURSOS ORDINARIOS,GASTO CORRIENTE,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,591,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,5800,0
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS DETERMINADOS,GASTO CORRIENTE,763,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TRABAJO,DONACIONES Y TRANSFERENCIAS,GASTO CORRIENTE,6500,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TRABAJO,DONACIONES Y TRANSFERENCIAS,GASTO CORRIENTE,130,61.5384615384615
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,1534.9,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS ORDINARIOS,GASTO CORRIENTE,61428.96,77.8446843312991
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,85234.14,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS ORDINARIOS,GASTO CORRIENTE,86,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TRANSPORTE,RECURSOS DETERMINADOS,GASTO DE CAPITAL,181089.59,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,"PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA",RECURSOS DETERMINADOS,GASTO DE CAPITAL,174131,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS ORDINARIOS,GASTO DE CAPITAL,12300,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TURISMO,RECURSOS ORDINARIOS,GASTO DE CAPITAL,48587.03,105.945208011274
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,AMBIENTE,RECURSOS DETERMINADOS,GASTO DE CAPITAL,45134.5,118.611040334999
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,CULTURA Y DEPORTE,RECURSOS DETERMINADOS,GASTO DE CAPITAL,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS DETERMINADOS,GASTO DE CAPITAL,10174,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,PESCA,RECURSOS ORDINARIOS,GASTO CORRIENTE,2278.38,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,COMUNICACIONES,RECURSOS ORDINARIOS,GASTO CORRIENTE,709,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TRANSPORTE,RECURSOS ORDINARIOS,GASTO CORRIENTE,300,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,80607.68,100.084756191966
